Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Generosity,Freedom,Trust (Government Corruption)
Vietnam,95,5.103,0.715,0.7020000000000001,0.177,0.618,0.079
Indonesia,96,5.093,0.899,0.522,0.484,0.5379999999999999,0.018000000000000002
Bhutan,97,5.082,0.7959999999999999,0.527,0.364,0.541,0.171
Cameroon,99,4.975,0.535,0.182,0.183,0.45399999999999996,0.043
Bulgaria,100,4.933,1.054,0.7120000000000001,0.064,0.359,0.009000000000000001
Nepal,101,4.88,0.425,0.539,0.302,0.526,0.078
Venezuela,102,4.806,0.996,0.657,0.055999999999999994,0.133,0.052000000000000005
Gabon,103,4.758,1.036,0.40399999999999997,0.032,0.35600000000000004,0.052000000000000005
South Africa,105,4.724,0.94,0.33,0.10300000000000001,0.516,0.055999999999999994
Iran,106,4.707,1.0590000000000002,0.691,0.282,0.45899999999999996,0.129
Ghana,108,4.657,0.5920000000000001,0.337,0.212,0.499,0.028999999999999998
Senegal,109,4.631,0.429,0.433,0.138,0.406,0.08199999999999999
Tunisia,111,4.592,0.9,0.69,0.04,0.271,0.063
Albania,112,4.586,0.9159999999999999,0.79,0.149,0.419,0.032
Sierra Leone,113,4.571000000000001,0.256,0.0,0.23800000000000002,0.355,0.053
Sri Lanka,116,4.471,0.9179999999999999,0.672,0.307,0.585,0.05
Iraq,117,4.456,1.01,0.536,0.14800000000000002,0.304,0.095
Mali,118,4.447,0.37,0.152,0.139,0.36700000000000005,0.055999999999999994
Cambodia,120,4.433,0.5489999999999999,0.457,0.256,0.696,0.065
Burkina Faso,121,4.4239999999999995,0.314,0.254,0.175,0.312,0.128
Egypt,122,4.419,0.885,0.5529999999999999,0.092,0.312,0.107
Kenya,124,4.41,0.493,0.45399999999999996,0.35200000000000004,0.504,0.055
Zambia,125,4.377,0.562,0.295,0.221,0.503,0.08199999999999999
Mauritania,126,4.356,0.557,0.292,0.134,0.129,0.09300000000000001
Ethiopia,127,4.35,0.308,0.391,0.22,0.452,0.146
Georgia,128,4.34,0.853,0.643,0.038,0.375,0.215
Armenia,129,4.321000000000001,0.816,0.6659999999999999,0.077,0.26,0.027999999999999997
Myanmar,130,4.308,0.682,0.429,0.598,0.58,0.17800000000000002
Chad,131,4.301,0.358,0.053,0.18100000000000002,0.18899999999999997,0.06
India,133,4.19,0.721,0.485,0.172,0.539,0.09300000000000001
Uganda,135,4.1610000000000005,0.322,0.237,0.259,0.45,0.061
Benin,136,4.141,0.37799999999999995,0.24,0.163,0.44,0.067
Ukraine,138,4.103,0.7929999999999999,0.609,0.187,0.163,0.011000000000000001
Togo,139,3.9989999999999997,0.259,0.253,0.158,0.434,0.10099999999999999
Guinea,140,3.964,0.344,0.21100000000000002,0.185,0.39399999999999996,0.094
Madagascar,143,3.7739999999999996,0.262,0.402,0.155,0.221,0.049
Zimbabwe,144,3.6919999999999997,0.35700000000000004,0.248,0.132,0.406,0.099
Botswana,146,3.59,1.0170000000000001,0.41700000000000004,0.042,0.557,0.092
Malawi,147,3.5869999999999997,0.18600000000000003,0.306,0.21,0.531,0.08
Haiti,148,3.582,0.315,0.289,0.392,0.025,0.10400000000000001
Liberia,149,3.495,0.076,0.267,0.20600000000000002,0.419,0.03
Syria,150,3.4619999999999997,0.6890000000000001,0.539,0.376,0.08800000000000001,0.14400000000000002
Rwanda,151,3.408,0.332,0.4,0.2,0.636,0.444
Yemen,152,3.355,0.442,0.34299999999999997,0.083,0.244,0.064
Tanzania,153,3.303,0.455,0.381,0.27,0.48100000000000004,0.09699999999999999
Burundi,156,2.905,0.091,0.145,0.149,0.065,0.076
